"id","user_id","time","duration","X","Y","key","tagName","tagId"
449,32,1677171928263,128,334,630,0,NULL,NULL
450,32,1677171929634,120,729,126,0,NULL,NULL
451,3,1677150331825,72,989,150,0,NULL,NULL
452,3,1677150332335,88,786,153,0,NULL,NULL
453,32,1677171931681,129,493,133,0,NULL,NULL
454,3,1677150337873,80,997,107,0,NULL,NULL
455,32,1677171943082,120,1394,49,0,NULL,NULL
456,3,1677150344825,111,856,134,0,NULL,NULL
457,32,1677171947185,136,1245,463,0,NULL,NULL
458,32,1677171947938,104,1137,447,0,NULL,NULL
459,32,1677171950009,112,715,144,0,NULL,NULL
460,3,1677150349793,112,432,600,0,NULL,NULL
461,3,1677150353897,80,1186,50,0,NULL,NULL
462,32,1677171952518,111,930,623,0,NULL,NULL
463,32,1677171953922,105,1404,48,0,NULL,NULL
464,32,1677171955585,104,1290,53,0,NULL,NULL
465,32,1677171957426,104,1274,210,0,NULL,NULL
466,32,1677171959124,143,776,526,0,NULL,NULL
467,32,1677171962017,128,763,217,0,NULL,NULL
468,32,1677171964713,112,444,190,0,NULL,NULL
469,32,1677171965946,112,1078,447,0,NULL,NULL
470,32,1677171968474,97,1325,45,0,NULL,NULL
471,32,1677171969949,113,1269,243,0,NULL,NULL
472,32,1677171982361,137,749,752,0,NULL,NULL
473,32,1677171984425,104,378,141,0,NULL,NULL
474,33,1677173262043,116,925,137,0,NULL,NULL
475,33,1677173264523,109,1259,128,0,NULL,NULL
476,33,1677173271057,107,1290,67,0,NULL,NULL
477,36,1677174137680,96,385,260,0,NULL,NULL
478,36,1677174151831,96,810,504,0,NULL,NULL
479,35,1677174217769,117,649,385,0,NULL,NULL
480,37,1677175417780,2542,1535,159,0,NULL,NULL
481,37,1677175429022,594,1462,449,0,NULL,NULL
482,37,1677175444594,176,1374,593,0,NULL,NULL
483,38,1677179346210,109,522,434,2,NULL,NULL
484,38,1677179354010,108,759,111,0,NULL,NULL
485,38,1677179382125,110,451,133,0,NULL,NULL
486,41,1677183802496,71,404,260,0,NULL,NULL
487,41,1677183828847,85,504,139,0,NULL,NULL
488,6,1677185557741,97,524,140,0,NULL,NULL
489,6,1677185558637,95,620,133,0,NULL,NULL
490,43,1677205463308,144,1436,47,0,NULL,NULL
491,43,1677205466045,111,1364,104,0,NULL,NULL
492,43,1677205468445,104,1042,467,0,NULL,NULL
493,43,1677205470454,120,895,358,0,NULL,NULL
494,43,1677205471790,616,517,350,0,NULL,NULL
495,43,1677205482014,120,936,424,0,NULL,NULL
496,43,1677205483318,560,707,411,0,NULL,NULL
497,43,1677205486485,180,885,370,0,NULL,NULL
498,43,1677205495325,560,676,348,0,NULL,NULL
499,43,1677205521326,960,735,416,0,NULL,NULL
500,43,1677205523126,752,771,346,0,NULL,NULL
501,43,1677205556278,816,771,519,0,NULL,NULL
502,43,1677205561030,392,631,507,0,NULL,NULL
503,43,1677205562758,424,761,574,0,NULL,NULL
504,43,1677205563958,96,874,659,0,NULL,NULL
505,43,1677205568909,136,955,670,0,NULL,NULL
506,43,1677205570420,103,887,664,0,NULL,NULL
507,43,1677205570620,88,887,664,0,NULL,NULL
508,43,1677205570941,112,887,664,0,NULL,NULL
509,43,1677205570756,104,887,664,0,NULL,NULL
510,43,1677205571111,103,887,664,0,NULL,NULL
511,43,1677205571420,71,887,664,0,NULL,NULL
512,43,1677205571261,80,887,664,0,NULL,NULL
513,43,1677205571587,87,887,664,0,NULL,NULL
514,43,1677205574492,520,754,514,0,NULL,NULL
515,43,1677205578195,448,633,567,0,NULL,NULL
516,43,1677205582458,112,947,674,0,NULL,NULL
517,43,1677205616804,128,1432,59,0,NULL,NULL
518,43,1677205619284,112,1368,104,0,NULL,NULL
519,43,1677205621387,128,1050,468,0,NULL,NULL
520,43,1677205623220,88,900,681,0,NULL,NULL
521,43,1677205626387,600,740,469,0,NULL,NULL
522,43,1677205638153,104,899,674,0,NULL,NULL
523,43,1677205640225,88,906,672,0,NULL,NULL
524,43,1677205641520,128,906,672,0,NULL,NULL
525,43,1677205641248,103,906,672,0,NULL,NULL
526,43,1677205641784,128,906,672,0,NULL,NULL
527,43,1677205645936,112,1042,620,0,NULL,NULL
528,43,1677205651895,136,882,363,0,NULL,NULL
529,43,1677205664429,119,882,412,0,NULL,NULL
