duration,interArrivalTime,Type
85,289.0,Bot
86,236.0,Bot
146,253.0,Bot
81,149.0,Bot
62,179.0,Bot
56,238.0,Bot
139,280.0,Bot
108,291.0,Bot
143,299.0,Bot
112,194.0,Bot
62,244.0,Bot
77,138.0,Bot
110,251.0,Bot
134,336.0,Bot
100,184.0,Bot
110,259.0,Bot
142,256.0,Bot
89,212.0,Bot
128,302.0,Bot
149,236.0,Bot
76,246.0,Bot
96,196.0,Bot
122,234.0,Bot
62,147.0,Bot
135,313.0,Bot
115,212.0,Bot
128,337.0,Bot
100,190.0,Bot
92,232.0,Bot
106,261.0,Bot
71,255.0,Bot
131,235.0,Bot
59,251.0,Bot
84,239.0,Bot
136,347.0,Bot
127,288.0,Bot
91,251.0,Bot
119,206.0,Bot
79,156.0,Bot
73,467.0,Bot
143,249.0,Bot
84,180.0,Bot
72,232.0,Bot
57,207.0,Bot
131,270.0,Bot
120,188.0,Bot
114,256.0,Bot
98,163.0,Bot
59,180.0,Bot
99,194.0,Bot
155,253.0,Bot
92,291.0,Bot
66,159.0,Bot
153,249.0,Bot
56,264.0,Bot
131,215.0,Bot
99,279.0,Bot
57,182.0,Bot
94,171.0,Bot
142,345.0,Bot
66,146.0,Bot
148,296.0,Bot
60,232.0,Bot
93,198.0,Bot
84,183.0,Bot
152,302.0,Bot
118,228.0,Bot
146,240.0,Bot
59,193.0,Bot
90,261.0,Bot
150,325.0,Bot
153,235.0,Bot
69,236.0,Bot
70,252.0,Bot
66,135.0,Bot
127,281.0,Bot
118,304.0,Bot
68,228.0,Bot
142,287.0,Bot
88,160.0,Bot
107,316.0,Bot
96,164.0,Bot
147,213.0,Bot
268,334.0,Bot
173,252.0,Bot
285,395.0,Bot
235,320.0,Bot
110,475.0,Bot
129,205.0,Bot
245,348.0,Bot
303,397.0,Bot
114,177.0,Bot
151,241.0,Bot
242,348.0,Bot
237,305.0,Bot
125,195.0,Bot
109,189.0,Bot
179,242.0,Bot
216,322.0,Bot
286,355.0,Bot
195,286.0,Bot
162,224.0,Bot
86,187.0,Bot
95,161.0,Bot
295,396.0,Bot
236,308.0,Bot
117,200.0,Bot
127,195.0,Bot
254,351.0,Bot
182,249.0,Bot
58,158.0,Bot
79,168.0,Bot
301,384.0,Bot
289,382.0,Bot
271,364.0,Bot
275,375.0,Bot
119,217.0,Bot
193,286.0,Bot
87,158.0,Bot
82,188.0,Bot
147,220.0,Bot
194,258.0,Bot
149,244.0,Bot
225,302.0,Bot
229,297.0,Bot
213,276.0,Bot
90,168.0,Bot
215,286.0,Bot
283,394.0,Bot
211,294.0,Bot
99,209.0,Bot
306,416.0,Bot
96,175.0,Bot
288,380.0,Bot
259,344.0,Bot
68,142.0,Bot
160,232.0,Bot
165,226.0,Bot
260,349.0,Bot
221,318.0,Bot
222,299.0,Bot
80,182.0,Bot
136,449.0,Bot
169,248.0,Bot
270,337.0,Bot
131,229.0,Bot
161,224.0,Bot
285,375.0,Bot
154,256.0,Bot
186,285.0,Bot
187,254.0,Bot
181,286.0,Bot
270,344.0,Bot
139,224.0,Bot
209,300.0,Bot
171,274.0,Bot
94,180.0,Bot
285,378.0,Bot
299,368.0,Bot
148,558.0,Bot
193,260.0,Bot
142,237.0,Bot
239,333.0,Bot
186,259.0,Bot
246,331.0,Bot
80,164.0,Bot
201,266.0,Bot
241,348.0,Bot
110,190.0,Bot
266,346.0,Bot
208,318.0,Bot
149,231.0,Bot
73,147.0,Bot
305,386.0,Bot
84,186.0,Bot
275,351.0,Bot
274,646.0,Bot
64,136.0,Bot
254,354.0,Bot
156,259.0,Bot
79,174.0,Bot
259,330.0,Bot
86,158.0,Bot
187,261.0,Bot
297,354.0,Bot
156,228.0,Bot
117,221.0,Bot
297,388.0,Bot
290,353.0,Bot
