user_id,duration,interArrivalTime,Type
12,113,176.0,Human
12,113,128.0,Human
12,112,197.0,Human
12,96,124.0,Human
12,127,249.0,Human
12,106,1183.0,Human
12,819,36.0,Human
12,132,481.0,Human
12,106,545.0,Human
12,106,1326.0,Human
12,1844,28.0,Human
12,109,137.0,Human
12,107,161.0,Human
12,86,181.0,Human
12,97,436.0,Human
12,107,275.0,Human
12,89,167.0,Human
12,89,207.0,Human
12,102,199.0,Human
12,105,126.0,Human
12,116,187.0,Human
12,123,211.0,Human
12,113,208.0,Human
12,99,169.0,Human
12,95,157.0,Human
12,59,141.0,Human
12,104,253.0,Human
12,71,202.0,Human
12,104,166.0,Human
12,121,233.0,Human
12,92,163.0,Human
12,100,244.0,Human
12,76,428.0,Human
12,115,197.0,Human
12,113,641.0,Human
12,105,194.0,Human
12,99,116.0,Human
12,100,254.0,Human
12,82,101.0,Human
12,80,157.0,Human
12,106,187.0,Human
12,98,181.0,Human
12,94,178.0,Human
12,102,197.0,Human
12,101,116.0,Human
12,103,168.0,Human
12,105,167.0,Human
12,136,255.0,Human
12,113,162.0,Human
12,97,601.0,Human
12,91,124.0,Human
12,85,137.0,Human
12,81,113.0,Human
12,82,184.0,Human
12,85,164.0,Human
12,64,378.0,Human
12,74,199.0,Human
12,83,202.0,Human
12,77,189.0,Human
12,82,141.0,Human
12,82,161.0,Human
12,91,154.0,Human
12,129,498.0,Human
12,86,208.0,Human
12,91,170.0,Human
12,111,180.0,Human
12,106,163.0,Human
12,115,186.0,Human
12,102,164.0,Human
12,49,142.0,Human
12,104,378.0,Human
12,103,146.0,Human
12,82,1144.0,Human
12,1120,75.0,Human
14,646,20.0,Human
14,204,38.0,Human
14,130,2393.0,Human
23,92,221.0,Human
23,108,4110.0,Human
23,111,197.0,Human
23,76,2645.0,Human
23,88,619.0,Human
23,92,462.0,Human
29,184,22.0,Human
29,33,17.0,Human
29,207,662.0,Human
29,39,23.0,Human
29,32,17.0,Human
31,123,1174.0,Human
31,262,3561.0,Human
32,168,2463.0,Human
32,144,1096.0,Human
32,184,120.0,Human
32,152,40.0,Human
32,184,704.0,Human
32,163,109.0,Human
32,141,2.0,Human
32,136,39.0,Human
32,113,281.0,Human
